position,texte,rien
711,débat,débat
712,soit,être
713,la,le
714,politique,politique
715,du,du
716,second,second
717,tour,tour
718,.,.
719,Je,je
720,vous,vous
721,le,le
722,dis,dire
723,franchement,franchement
724,je,je
725,ne,ne
726,suis,suivre|être
727,pas,pas
728,venu,venir
729,pour,pour
730,cela,cela
731,.,.
732,Ce,ce
733,qui,qui
734,m,m
735,intéresse,intéresser
736,c,c
737,est,être
738,l,l
739,enjeu,enjeu
740,pour,pour
741,la,le
742,france,france
743,ce,ce
744,que,que
745,mitterrand,mitterrand
746,ferait,faire
747,ce,ce
748,que,que
749,je,je
750,ferais,faire
751,moi,moi
752,même,même
753,.,.
754,Réponse,réponse
755,en,en
756,fait,faire
757,depuis,depuis
758,sept,sept
759,ans,an
760,j,j
761,ai,avoir
762,pu,pouvoir
763,gouverner,gouverner
764,enfin,enfin
765,.,.
766,.,.
767,.,.
768,Gouverner,gouverner
769,.,.
770,.,.
771,.,.
772,Agir,agir
773,comme,comme
774,président,président
775,de,de
776,la,le
777,république,république
778,avec,avec
779,un,un
780,gouvernement,gouvernement
781,sans,sans
782,crise,crise
783,et,et
784,sans,sans
785,dissolution,dissolution
786,avec,avec
787,une,un
788,majorité,majorité
789,qui,qui
790,était,être
791,composée,composer
792,de,de
793,deux,deux
794,tendances,tendance
795,parti,partir
796,politique,politique
797,principales,principal
798,le,le
799,rpr,rpr
800,et,et
801,l,l
802,udf,udf
803,.,.
804,Elles,elle
805,se,se
806,sont,être
807,à,à
808,certains,certain
809,moments,moment
810,bien,bien
811,entendues,entendre
812,au,au
813,moment,moment
814,des,du
815,élections,élection
816,de,de
817,elles,elle
818,ont,avoir
819,eu,avoir
820,à,à
821,d,d
822,autres,autre
823,moments,moment
824,des,du
825,affrontements,affrontement
826,.,.
827,.,.
828,Au,au
829,total,total
830,il,il
831,n,n
832,y,y
833,a,avoir
834,jamais,jamais
835,eu,avoir
836,de,de
837,motion,motion
838,de,de
839,censure,censure
840,votée,voter
841,et,et
842,il,il
843,n,n
844,y,y
845,a,avoir
846,jamais,jamais
847,eu,avoir
848,de,de
849,crise,crise
850,politique,politique
851,.,.
852,Je,je
853,n,n
854,aperçois,apercevoir
855,aucune,aucun
856,raison,raison
857,pour,pour
858,que,que
859,cette,ce
860,situation,situation
861,soit,être
862,modifiée,modifier
863,après,après
864,l,l
865,élection,élection
866,présidentielle,présidentiel
867,.,.
868,J,j
869,observe,observer
870,d,d
871,ailleurs,ailleurs
872,que,que
873,la,le
874,totalité,totalité
875,des,du
876,dirigeants,dirigeant
877,du,du
878,rpr,rpr
879,la,le
880,quasi,quasi
881,totalité,totalité
882,des,du
883,élus,élu
884,de,de
885,cette,ce
886,formation,formation
887,veulent,vouloir
888,bien,bien
889,soutenir,soutenir
890,à,à
891,l,l
892,heure,heure
893,actuelle,actuel
894,ma,mon
895,candidature,candidature
896,à,à
897,la,le
898,présidence,présidence
899,de,de
900,la,le
901,république,république
902,et,et
903,comme,comme
904,j,j
905,ai,avoir
906,indiqué,indiquer
907,moi,moi
908,même,même
909,qu,qu
910,il,il
911,n,n
912,y,y
913,aurait,avoir
914,pas,pas
915,de,de
916,dissolution,dissolution
917,il,il
918,n,n
919,y,y
920,a,avoir
921,donc,donc
922,pas,pas
923,de,de
924,problème,problème
925,politique,politique
926,à,à
927,cet,ce
928,égard,égard
929,il,il
930,y,y
931,aura,avoir
932,tout,tout
933,de,de
934,suite,suite
935,la,le
936,reprise,reprise
937,de,de
938,l,l
939,action,action
940,gouvernementale,gouvernemental
941,et,et
942,parlementaire,parlementaire
943,.,.
944,Quand,quand
945,j,j
946,ai,avoir
947,dit,dire
948,que,que
949,jacques,jacques
950,chirac,chirac
951,avait,avoir
952,eu,avoir
953,raison,raison
954,de,de
955,mettre,mettre
956,l,l
957,accent,accent
958,sur,sur
959,un,un
960,certain,certain
961,nombre,nombre
962,de,de
963,problèmes,problème
964,qu,qu
965,est,être
966,ce,ce
967,que,que
968,j,j
969,ai,avoir
970,voulu,vouloir
971,dire,dire
972,dès,dès
973,le,le
974,début,début
975,de,de
976,cette,ce
977,campagne,campagne
978,campagne,campagne
979,électorale,électoral
980,j,j
981,ai,avoir
982,dit,dire
983,que,que
984,j,j
985,écouterais,écouter
986,ce,ce
987,qui,qui
988,sera,être
989,dit,dire
990,dans,dans
991,cette,ce
992,campagne,campagne
993,;,;
994,il,il
995,y,y
996,a,avoir
997,des,du
998,choses,chose
999,à,à
1000,apprendre,apprendre
1001,.,.
1002,Une,un
1003,campagne,campagne
1004,révèle,révéler
1005,toujours,toujours
1006,un,un
1007,certain,certain
1008,état,état
1009,d,d
1010,esprit,esprit
1011,de,de
1012,la,le
1013,population,population
1014,.,.
1015,Les,le
1016,préoccupations,préoccupation
1017,de,de
1018,libertés,liberté
1019,économiques,économique
1020,de,de
1021,débureaucratisation,débureaucratisation
1022,de,de
1023,la,le
1024,société,société
1025,française,français
1026,d,d
1027,allègement,allègement
1028,de,de
1029,certaines,certain
1030,charges,charge
1031,ont,avoir
1032,été,être
1033,exprimées,exprimer
1034,notamment,notamment
1035,par,par
1036,jacques,jacques
1037,chirac,chirac
1038,et,et
1039,j,j
1040,ai,avoir
1041,indiqué,indiquer
1042,que,que
1043,ce,ce
1044,serait,être
1045,un,un
1046,des,du
1047,enseignements,enseignement
1048,à,à
1049,mettre,mettre
1050,en,en
1051,oeuvre,œuvre
1052,à,à
1053,l,l
1054,issue,issu
1055,de,de
1056,cette,ce
1057,élection,élection
1058,mais,mais
1059,il,il
1060,y,y
1061,aura,avoir
1062,bien,bien
1063,entendu,entendre
1064,beaucoup,beaucoup
1065,d,d
1066,autres,autre
1067,choses,chose
1068,à,à
1069,faire,faire
1070,.,.
1071,Je,je
1072,pose,poser
1073,une,un
1074,question,question
1075,à,à
1076,françois,françois
1077,mitterrand,mitterrand
1078,qui,qui
1079,est,être
1080,dans,dans
1081,la,le
1082,ligne,ligne
1083,de,de
1084,celle,celui
1085,ci,ci
1086,si,si
1087,vous,vous
1088,êtes,être
1089,élu,élire
1090,président,président
1091,de,de
1092,la,le
1093,république,république
1094,vous,vous
1095,avez,avoir
1096,dit,dire
1097,que,que
1098,vous,vous
1099,formeriez,former
1100,un,un
1101,gouvernement,gouvernement
1102,.,.
1103,Ce,ce
1104,gouvernement,gouvernement
1105,se,se
1106,présentera,présenter
1107,t,t
1108,il,il
1109,devant,devant
1110,l,l
1111,assemblée,assemblée
1112,nationale,national
1113,j,j
1114,aurais,avoir
1115,voulu,vouloir
1116,poser,poser
1117,une,un
1118,question,question
1119,à,à
1120,françois,françois
1121,mitterrand,mitterrand
1122,sur,sur
1123,la,le
1124,question,question
1125,de,de
1126,giscard,giscard
1127,d,d
1128,estaing,estaing
1129,parce,parce
1130,que,que
1131,françois,françois
1132,mitterrand,mitterrand
1133,a,avoir
1134,déjà,déjà
1135,eu,avoir
1136,l,l
1137,occasion,occasion
1138,de,de
1139,dire,dire
1140,qu,qu
1141,il,il
1142,ne,ne
1143,serait,être
1144,pas,pas
1145,le,le
1146,seul,seul
1147,contraint,contraindre
1148,de,de
1149,dissoudre,dissoudre
1150,l,l
1151,assemblée,assemblée
1152,si,si
1153,vous,vous
1154,étiez,être
1155,élu,élire
1156,.,.
1157,Il,il
1158,m,m
1159,intéresserait,intéresser
1160,de,de
1161,savoir,savoir
1162,en,en
1163,votre,votre
1164,présence,présence
1165,comment,comment
1166,il,il
1167,argumente,argumenter
1168,sur,sur
1169,ce,ce
1170,point,point
1171,.,.
1172,Après,après
1173,avoir,avoir
1174,entendu,entendre
1175,ce,ce
1176,qui,qui
1177,vient,venir
1178,d,d
1179,être,être
1180,dit,dire
1181,par,par
1182,giscard,giscard
1183,d,d
1184,estaing,estaing
1185,j,j
1186,avais,avoir
1187,moi,moi
1188,aussi,aussi
1189,envie,envier
1190,de,de
1191,lui,lui
1192,poser,poser
1193,une,un
1194,question,question
1195,et,et
1196,selon,selon
1197,les,le
1198,règles,règle|règles
1199,qui,qui
1200,ont,avoir
1201,été,être
1202,établies,établir
1203,ce,ce
1204,sera,être
1205,donc,donc
1206,une,un
1207,question,question
1208,indirecte,indirect
1209,qui,qui
1210,sera,être
1211,quand,quand
1212,même,même
1213,entendue,entendre
1214,.,.
1215,Je,je
1216,voulais,vouloir
1217,simplement,simplement
1218,qu,qu
1219,on,on
1220,m,m
1221,explique,expliquer
1222,c,c
1223,est,être
1224,à,à
1225,dire,dire
1226,que,que
1227,l,l
1228,autre,autre
1229,candidat,candidat
1230,veuille,vouloir
1231,bien,bien
1232,m,m
1233,expliquer,expliquer
1234,.,.
1235,.,.
1236,Son,son
1237,raisonnement,raisonnement
1238,ne,ne
1239,tombe,tomber
1240,t,t
1241,il,il
1242,pas,pas
1243,dans,dans
1244,le,le
1245,vide,vide
1246,le,le
1247,mai,mai
1248,vous,vous
1249,déclariez,déclarer
1250,c,c
1251,était,être
1252,une,un
1253,autre,autre
1254,élection,élection
1255,présidentielle,présidentiel
1256,il,il
1257,y,y
1258,a,avoir
1259,sept,sept
1260,ans,an
1261,je,je
1262,vous,vous
1263,demande,demander
1264,de,de
1265,me,me
1266,croire,croire
1267,vous,vous
1268,vous,vous
1269,adressiez,adresser
1270,aux,au
1271,français,français
1272,vous,vous
1273,ne,ne
1274,serez,être
1275,pas,pas
1276,déçus,décevoir
1277,.,.
1278,.,.
1279,Vous,vous
1280,serez,être
1281,surpris,surprendre
1282,par,par
1283,l,l
1284,ampleur,ampleur
1285,par,par
1286,l,l
1287,audace,audace
1288,par,par
1289,la,le
1290,rapidité,rapidité
1291,du,du
1292,changement,changement
1293,que,que
1294,je,je
1295,veux,vouloir
1296,introduire,introduire
1297,dans,dans
1298,la,le
1299,politique,politique
1300,de,de
1301,notre,notre
1302,pays,pays
1303,.,.
1304,Et,et
1305,voilà,voilà
1306,que,que
1307,celui,celui
1308,que,que
1309,vous,vous
1310,proclamez,proclamer
1311,comme,comme
1312,votre,votre
1313,partenaire,partenaire
1314,avec,avec
1315,lequel,lequel
1316,vous,vous
1317,n,n
1318,avez,avoir
1319,jamais,jamais
1320,eu,avoir
1321,d,d
1322,ennuis,ennui
1323,peut,pouvoir
1324,être,être
1325,quelques,quelque
1326,troubles,trouble
1327,dans,dans
1328,la,le
1329,majorité,majorité
1330,en,en
1331,tout,tout
1332,cas,cas
1333,jamais,jamais
1334,de,de
1335,motion,motion
1336,de,de
1337,censure,censure
1338,voilà,voilà
1339,que,que
1340,chirac,chirac
1341,responsable,responsable
1342,du,du
1343,rpr,rpr
1344,vous,vous
1345,répond,répondre
1346,le,le
1347,mars,mars
1348,au,au
1349,club,club
1350,de,de
1351,la,le
1352,presse,presse
1353,d,d
1354,europe,europe
1355,i,i
1356,la,le
1357,france,france
1358,est,être
1359,dans,dans
1360,une,un
1361,situation,situation
1362,extraordinairement,extraordinairement
1363,difficile,difficile
1364,.,.
1365,Je,je
1366,suis,suivre|être
1367,certain,certain
1368,que,que
1369,la,le
1370,voie,voie
1371,que,que
1372,nous,nous
1373,suivrons,suivre
1374,si,si
1375,giscard,giscard
1376,d,d
1377,estaing,estaing
1378,était,être
1379,réélu,réélire
1380,serait,être
1381,la,le
1382,même,même
1383,et,et
1384,conduirait,conduire
1385,encore,encore
1386,plus,plus
1387,vite,vite
1388,à,à
1389,des,du
1390,désordres,désordre
1391,plus,plus
1392,graves,grave
1393,|,|
1394,deuxième,deuxième
1395,citation,citation
1396,il,il
1397,n,n
1398,y,y
1399,en,en
1400,aura,avoir
1401,pas,pas
1402,beaucoup,beaucoup
1403,toujours,toujours
1404,de,de
1405,jacques,jacques
1406,chirac,chirac
1407,le,le
1408,mars,mars
1409,à,à
1410,l,l
1411,émission,émission
1412,cartes,cartes
1413,sur,sur
1414,table,table
1415,d,d
1416,antenne,antenne
1417,nous,nous
1418,sommes,sommer|être
1419,dans,dans
1420,une,un
1421,situation,situation
1422,extrêmement,extrêmement
1423,préoccupante,préoccupant
1424,qui,qui
1425,exige,exiger
1426,un,un
1427,changement,changement
1428,complet,complet
1429,de,de
1430,politique,politique
1431,et,et
1432,on,on
1433,ne,ne
1434,change,changer
1435,pas,pas
1436,de,de
1437,politique,politique
1438,avec,avec
1439,les,le
1440,mêmes,même
1441,hommes,homme
1442,.,.
1443,Et,et
1444,une,un
1445,troisième,troisième
1446,citation,citation
1447,très,très
1448,rapide,rapide
1449,toujours,toujours
1450,du,du
1451,même,même
1452,chirac,chirac
1453,en,en
1454,date,date
1455,du,du
1456,mars,mars
1457,oui,oui
1458,je,je
1459,porte,porter
1460,un,un
1461,jugement,jugement
1462,négatif,négatif
1463,sur,sur
1464,le,le
1465,septennat,septennat
1466,|,|
1467,sans,sans
1468,doute,doute
1469,monsieur,monsieur
1470,giscard,giscard
1471,d,d
1472,estaing,estaing
1473,considérez,considérer
1474,vous,vous
1475,que,que
