position,texte
850,nombre
851,de
852,faits
853,de
854,violence
855,à
856,l
857,école
858,a
859,augmenté
860,de
861,.
862,Puisqu
863,une
864,question
865,m
866,est
867,posée
868,la
869,moindre
870,des
871,courtoisies
872,est
873,d
874,y
875,répondre
876,.
877,Suis-je
878,responsable
879,d
880,une
881,partie
882,du
883,bilan
884,du
885,gouvernement
886,Oui
887,j
888,ai
889,été
890,ministre
891,de
892,l
893,Intérieur
894,pendant
895,quatre
896,ans
897,j
898,ai
899,trouvé
900,une
901,situation
902,qui
903,était
904,catastrophique
905,qui
906,a
907,compté
908,pour
909,beaucoup
910,Madame
911,Royal
912,dans
913,la
914,défaite
915,de
916,vos
917,amis
918,du
919,gouvernement
920,auquel
921,vous
922,apparteniez
923,à
924,l
925,époque
926,.
927,Si
928,en
929,les
930,Français
931,ont
932,changé
933,et
934,n
935,ont
936,même
937,pas
938,qualifié
939,le
940,Premier
941,ministre
942,que
943,vous
944,souteniez
945,pour
946,le
947,deuxième
948,tour
949,il
950,y
951,avait
952,bien
953,une
954,raison
955,.
956,Chacun
957,l
958,a
959,observé
960,.
961,C
962,est
963,parce
964,que
965,les
966,violences
967,et
968,la
969,délinquance
970,avaient
971,explosé
972,.
973,C
974,est
975,dans
976,ces
977,conditions
978,que
979,j
980,ai
981,été
982,nommé
983,ministre
984,de
985,l
986,Intérieur
987,.
988,Tout
989,n
990,a
991,pas
992,été
993,réussi
994,.
995,Il
996,y
997,a
998,un
999,point
1000,sur
1001,lequel
1002,je
1003,suis
1004,d
1005,accord
1006,.
1007,Sur
1008,les
1009,défaillances
1010,de
1011,la
1012,République
1013,gauche
1014,et
1015,droite
1016,confondues
1017,nous
1018,avons
1019,chacun
1020,notre
1021,part
1022,.
1023,Vous
1024,avez
1025,raison
1026,de
1027,dire
1028,qu
1029,il
1030,ne
1031,faut
1032,pas
1033,avoir
1034,une
1035,vision
1036,manichéenne
1037,.
1038,Sur
1039,le
1040,bilan
1041,en
1042,matière
1043,de
1044,violence
1045,de
1046,délinquance
1047,avec
1048,le
1049,même
1050,appareil
1051,statistique
1052,rien
1053,n
1054,a
1055,changé
1056,c
1057,est
1058,le
1059,même
1060,à
1061,l
1062,époque
1063,de
1064,Daniel
1065,Vaillant
1066,et
1067,le
1068,même
1069,sur
1070,les
1071,cinq
1072,ans
1073,de
1074,gouvernement
1075,Jospin
1076,la
1077,violence
1078,la
1079,délinquance
1080,avait
1081,augmenté
1082,de
1083,.
1084,Sur
1085,les
1086,cinq
1087,années
1088,du
1089,gouvernement
1090,du
1091,quinquennat
1092,de
1093,Jacques
1094,Chirac
1095,la
1096,délinquance
1097,avec
1098,le
1099,même
1100,appareil
1101,statistique
1102,a
1103,diminué
1104,de
1105,.
1106,Je
1107,ne
1108,dis
1109,pas
1110,que
1111,tout
1112,est
1113,résolu
1114,.
1115,Cela
1116,fait
1117,quand
1118,même
1119,un
1120,million
1121,de
1122,victimes
1123,en
1124,moins
1125,.
1126,C
1127,est
1128,suffisant
1129,pour
1130,que
1131,je
1132,ne
1133,parte
1134,pas
1135,en
1136,courant
1137,quand
1138,on
1139,évoque
1140,le
1141,mot
1142,bilan
1143,sur
1144,la
1145,sécurité
1146,.
1147,Il
1148,y
1149,a
1150,un
1151,deuxième
1152,point
1153,où
1154,l
1155,on
1156,est
1157,en
1158,accord
1159,il
1160,faut
1161,résoudre
1162,le
1163,problème
1164,de
1165,la
1166,dette
1167,.
1168,Vous
1169,avez
1170,parfaitement
1171,raison
1172,.
1173,Madame
1174,Royal
1175,vous
1176,connaissez
1177,les
1178,chiffres
1179,comme
1180,moi
1181,j
1182,imagine
1183,que
1184,dans
1185,cette
1186,campagne
1187,électorale
1188,on
1189,est
1190,au
1191,même
1192,niveau
1193,de
1194,préparation
1195,.
1196,Depuis
1197,combien
1198,de
1199,temps
1200,les
1201,budgets
1202,de
1203,la
1204,France
1205,sont
1206,en
1207,déficit
1208,ans
1209,.
1210,On
1211,ne
1212,peut
1213,pas
1214,expliquer
1215,que
1216,l
1217,endettement
1218,de
1219,la
1220,France
1221,dépend
1222,de
1223,ces
1224,cinq
1225,dernières
1226,années
1227,.
1228,Le
1229,problème
1230,est
1231,comment
1232,fait-on
1233,Je
1234,propose
1235,une
1236,chose
1237,du
1238,budget
1239,de
1240,la
1241,France
1242,c
1243,est
1244,le
1245,salaire
1246,de
1247,la
1248,fonction
1249,publique
1250,et
1251,les
1252,pensions
1253,de
1254,retraite
1255,.
1256,ce
1257,sont
1258,les
1259,intérêts
1260,de
1261,la
1262,dette
1263,.
1264,ce
1265,sont
1266,les
1267,deux
1268,postes
1269,.
1270,Se
1271,trouvera
1272,posé
1273,pour
1274,Madame
1275,Royal
1276,comme
1277,pour
1278,moi
1279,ce
1280,n
1281,est
1282,pas
1283,une
1284,question
1285,de
1286,gauche
1287,ou
1288,de
1289,droite
1290,mais
1291,de
1292,bon
1293,sens
1294,si
1295,vous
1296,voulez
1297,comme
1298,je
1299,le
1300,pense
1301,et
1302,comme
1303,moi
1304,réduire
1305,la
1306,dette
1307,de
1308,la
1309,France
1310,il
1311,faudra
1312,faire
1313,des
1314,économies
1315,.
1316,Nous
1317,avons
1318,une
1319,opportunité
1320,historique
1321,la
1322,pyramide
1323,d
1324,âge
1325,dans
1326,la
1327,fonction
1328,publique
1329,il
1330,faut
1331,réduire
1332,le
1333,train
1334,de
1335,vie
1336,de
1337,l
1338,Etat
1339,réduire
1340,les
1341,dépenses
1342,.
1343,Il
1344,y
1345,aura
1346,donc
1347,si
1348,je
1349,suis
1350,président
1351,de
1352,la
1353,République
1354,je
1355,veux
1356,proposer
1357,aux
1358,fonctionnaires
1359,un
1360,pacte
1361,de
1362,progrès
1363,.
1364,On
1365,remplacera
1366,un
1367,départ
1368,sur
1369,deux
1370,à
1371,la
1372,retraite
1373,la
1374,moitié
1375,des
1376,gains
1377,de
1378,productivité
1379,permettant
1380,d
1381,augmenter
1382,les
1383,salaires
1384,des
1385,fonctionnaires
1386,parce
1387,que
1388,les
1389,salaires
1390,de
1391,la
1392,fonction
1393,publique
1394,sont
1395,très
1396,bas
1397,.
1398,L
1399,autre
1400,moitié
1401,des
1402,gains
1403,de
1404,productivité
1405,permettra
1406,de
1407,réduire
1408,la
1409,dette
1410,de
1411,la
1412,France
1413,.
1414,Je
1415,voudrais
1416,revenir
1417,sur
1418,la
1419,conception
1420,du
1421,pouvoir
1422,car
1423,c
1424,est
1425,important
1426,sur
1427,cet
1428,engagement
1429,qui
1430,consiste
1431,à
1432,tout
1433,chef
1434,d
1435,Etat
1436,demain
1437,de
1438,rendre
1439,des
1440,comptes
1441,sur
1442,son
1443,pouvoir
1444,passé
1445,.
1446,Nous
1447,sommes
1448,en
1449,nous
1450,ne
1451,sommes
1452,pas
1453,en
1454,.
1455,J
1456,observe
1457,déjà
1458,que
1459,sur
1460,le
1461,bilan
1462,que
1463,j
1464,ai
1465,fait
1466,tout
1467,à
1468,l
1469,heure
1470,sur
1471,la
1472,situation
1473,de
1474,la
1475,France
1476,qui
1477,inquiète
1478,aujourd
1479,hui
1480,les
1481,Français
1482,vous
1483,ne
1484,contestez
1485,pas
1486,ce
1487,bilan
1488,.
1489,A
1490,la
1491,seconde
1492,près
1493,vous
1494,êtes
1495,à
1496,égalité
1497,de
1498,temps
1499,de
1500,parole
1501,.
1502,Je
1503,laisse
1504,répondre
1505,Nicolas
1506,Sarkozy
1507,et
1508,on
1509,ira
1510,au
1511,fond
1512,.
1513,Faut-il
1514,changer
1515,les
1516,institutions
1517,actuelles
1518,Je
1519,ne
1520,veux
1521,pas
1522,polémiquer
1523,.
1524,Mme
1525,Royal
