position,texte,rien
754,avant,avant
755,que,que
756,fait,faire
757,notre,notre
758,pays,pays
759,et,et
760,une,un
761,autre,autre
762,qui,qui
763,a,avoir
764,pourtant,pourtant
765,aussi,aussi
766,des,du
767,potentialités,potentialité
768,de,de
769,l,l
770,énergie,énergie
771,du,du
772,talent,talent
773,en,en
774,tous,tout
775,cas,cas
776,les,le
777,hommes,homme
778,et,et
779,les,le
780,femmes,femme
781,que,que
782,j,j
783,ai,avoir
784,rencontrés,rencontrer
785,sur,sur
786,le,le
787,terrain,terrain
788,souffrent,souffrir
789,ne,ne
790,peuvent,pouvoir
791,pas,pas
792,suivre,suivre
793,ne,ne
794,sont,être
795,pas,pas
796,mis,mettre
797,en,en
798,situation,situation
799,de,de
800,suivre,suivre
801,.,.
802,Je,je
803,pense,penser
804,qu,qu
805,un,un
806,bon,bon
807,nombre,nombre
808,d,d
809,entre,entre
810,eux,eux
811,s,s
812,expriment,exprimer
813,et,et
814,se,se
815,sont,être
816,exprimés,exprimer
817,en,en
818,votant,voter
819,pour,pour
820,des,du
821,candidats,candidat
822,certains,certain
823,qui,qui
824,ne,ne
825,sont,être
826,plus,plus
827,là,là
828,bien,bien
829,sûr,sûr
830,au,au
831,second,second
832,tour,tour
833,et,et
834,puis,puis
835,les,le
836,deux,deux
837,qui,qui
838,sont,être
839,là,là
840,notamment,notamment
841,pour,pour
842,moi,moi
843,.,.
844,Mais,mais
845,d,d
846,autres,autre
847,se,se
848,sont,être
849,exprimés,exprimer
850,autrement,autrement
851,.,.
852,Je,je
853,ne,ne
854,crois,croire
855,pas,pas
856,qu,qu
857,il,il
858,faudrait,falloir
859,dire,dire
860,que,que
861,la,le
862,protestation,protestation
863,ne,ne
864,s,s
865,exprime,exprimer
866,qu,qu
867,en,en
868,direction,direction
869,de,de
870,partis,parti
871,qui,qui
872,ne,ne
873,sont,être
874,pas,pas
875,disons,dire
876,les,le
877,grands,grand
878,partis,parti
879,traditionnels,traditionnel
880,de,de
881,notre,notre
882,pays,pays
883,.,.
884,Eux,eux
885,aussi,aussi
886,peuvent,pouvoir
887,porter,porter
888,une,un
889,protestation,protestation
890,;,;
891,elle,elle
892,est,être
893,peut,pouvoir
894,être,être
895,d,d
896,une,un
897,autre,autre
898,nature,nature
899,et,et
900,ils,il
901,offrent,offrir
902,d,d
903,autres,autre
904,solutions,solution
905,.,.
906,En,en
907,tous,tout
908,cas,cas
909,moi,moi
910,j,j
911,en,en
912,propose,proposer
913,.,.
914,Chirac,chirac
915,pour,pour
916,la,le
917,même,même
918,question,question
919,la,le
920,même,même
921,question,question
922,bien,bien
923,sûr,sûr
924,.,.
925,Je,je
926,voudrais,vouloir
927,d,d
928,abord,abord
929,dire,dire
930,à,à
931,jospin,jospin
932,que,que
933,je,je
934,suis,suivre|être
935,dans,dans
936,le,le
937,même,même
938,état,état
939,d,d
940,esprit,esprit
941,que,que
942,lui,lui
943,naturellement,naturellement
944,sur,sur
945,l,l
946,intérêt,intérêt
947,que,que
948,je,je
949,porte,porter
950,à,à
951,ce,ce
952,débat,débat
953,et,et
954,le,le
955,respect,respect
956,que,que
957,j,j
958,ai,avoir
959,pour,pour
960,sa,son
961,personne,personne
962,.,.
963,La,le
964,protestation,protestation
965,naturellement,naturellement
966,s,s
967,est,être
968,exprimée,exprimer
969,partout,partout
970,plus,plus
971,que,que
972,par,par
973,le,le
974,passé,passé
975,.,.
976,Elle,elle
977,vient,venir
978,.,.
979,Je,je
980,crois,croire
981,de,de
982,ce,ce
983,qu,qu
984,un,un
985,très,très
986,grand,grand
987,nombre,nombre
988,de,de
989,français,français
990,se,se
991,trouvent,trouver
992,aujourd,aujourd
993,hui,hui
994,dans,dans
995,une,un
996,situation,situation
997,d,d
998,inconfort,inconfort
999,;,;
1000,ils,il
1001,sont,être
1002,pour,pour
1003,diverses,divers
1004,raisons,raison
1005,malheureux,malheureux
1006,ils,il
1007,se,se
1008,sentent,sentir
1009,un,un
1010,peu,peu
1011,exclus,exclu
1012,.,.
1013,C,c
1014,est,être
1015,un,un
1016,diagnostic,diagnostic
1017,que,que
1018,j,j
1019,ai,avoir
1020,porté,porter
1021,déjà,déjà
1022,depuis,depuis
1023,un,un
1024,certain,certain
1025,temps,temps
1026,et,et
1027,qui,qui
1028,se,se
1029,traduit,traduire
1030,par,par
1031,une,un
1032,fracture,fracture
1033,sociale,social
1034,qui,qui
1035,met,mettre
1036,en,en
1037,cause,cause
1038,la,le
1039,cohésion,cohésion
1040,de,de
1041,notre,notre
1042,pays,pays
1043,et,et
1044,donc,donc
1045,sa,son
1046,force,force
1047,.,.
1048,La,le
1049,réduction,réduction
1050,de,de
1051,cette,ce
1052,fracture,fracture
1053,c,c
1054,est,être
1055,le,le
1056,problème,problème
1057,essentiel,essentiel
1058,.,.
1059,Cela,cela
1060,veut,vouloir
1061,dire,dire
1062,prendre,prendre
1063,en,en
1064,considération,considération
1065,les,le
1066,difficultés,difficulté
1067,quotidiennes,quotidien
1068,des,du
1069,gens,gens
1070,nous,nous
1071,y,y
1072,reviendrons,revenir
1073,j,j
1074,imagine,imaginer
1075,et,et
1076,leur,lui
1077,apporter,apporter
1078,une,un
1079,solution,solution
1080,.,.
1081,Est,être
1082,ce,ce
1083,qu,qu
1084,on,on
1085,peut,pouvoir
1086,savoir,savoir
1087,puisque,puisque
1088,beaucoup,beaucoup
1089,de,de
1090,gens,gens
1091,ont,avoir
1092,été,être
1093,marqués,marquer
1094,par,par
1095,ce,ce
1096,qui,qui
1097,s,s
1098,est,être
1099,passé,passer
1100,hier,hier
1101,et,et
1102,cela,cela
1103,fait,faire
1104,partie,partir
1105,aussi,aussi
1106,de,de
1107,cette,ce
1108,première,premier
1109,partie,partie
1110,ce,ce
1111,que,que
1112,vous,vous
1113,pensez,penser
1114,l,l
1115,un,un
1116,et,et
1117,l,l
1118,autre,autre
1119,de,de
1120,la,le
